Trial,Tube number,Dwell time (s),Before (g),After (g),Difference (g),Expected (g),Percent error (%)
1,1,12,1.055,1.128,0.073,0.075,-2.666666667
1,2,24,1.064,1.187,0.123,0.15,-18
1,3,36,1.058,1.281,0.223,0.225,-0.8888888889
1,4,48,1.057,1.329,0.272,0.3,-9.333333333
1,5,60,1.063,1.385,0.322,0.375,-14.13333333
1,6,72,1.059,1.538,0.479,0.45,6.444444444
1,7,84,1.064,1.587,0.523,0.525,-0.380952381
1,8,96,1.066,1.66,0.594,0.6,-1
1,9,108,1.053,1.72,0.667,0.675,-1.185185185
1,10,120,1.069,1.789,0.72,0.75,-4
1,11,132,1.066,1.895,0.829,0.825,0.4848484848
1,12,144,1.055,1.954,0.899,0.9,-0.1111111111
1,13,156,1.063,2.034,0.971,0.975,-0.4102564103
1,14,168,1.063,2.042,0.979,1.05,-6.761904762
1,15,180,1.063,2.257,1.194,1.125,6.133333333
1,16,192,1.054,2.239,1.185,1.2,-1.25
1,17,204,1.064,2.333,1.269,1.275,-0.4705882353
1,18,216,1.052,2.423,1.371,1.35,1.555555556
1,19,228,1.046,2.412,1.366,1.425,-4.140350877
1,20,240,1.058,2.603,1.545,1.5,3
2,1,12,1.067,1.136,0.069,0.075,-8
2,2,24,1.06,1.19,0.13,0.15,-13.33333333
2,3,36,1.071,1.253,0.182,0.225,-19.11111111
2,4,48,1.065,1.346,0.281,0.3,-6.333333333
2,5,60,1.062,1.46,0.398,0.375,6.133333333
2,6,72,1.064,1.55,0.486,0.45,8
2,7,84,1.058,1.571,0.513,0.525,-2.285714286
2,8,96,1.055,1.644,0.589,0.6,-1.833333333
2,9,108,1.056,1.704,0.648,0.675,-4
2,10,120,1.049,1.751,0.702,0.75,-6.4
2,11,132,1.057,1.919,0.862,0.825,4.484848485
2,12,144,1.058,1.938,0.88,0.9,-2.222222222
2,13,156,1.065,1.979,0.914,0.975,-6.256410256
2,14,168,1.05,2.115,1.065,1.05,1.428571429
2,15,180,1.054,2.193,1.139,1.125,1.244444444
2,16,192,1.065,2.185,1.12,1.2,-6.666666667
2,17,204,1.057,2.36,1.303,1.275,2.196078431
2,18,216,1.061,2.41,1.349,1.35,-0.07407407407
2,19,228,1.062,2.435,1.373,1.425,-3.649122807
2,20,240,1.058,2.545,1.487,1.5,-0.8666666667
3,1,12,1.065,1.136,0.071,0.075,-5.333333333
3,2,24,1.056,1.177,0.121,0.15,-19.33333333
3,3,36,1.058,1.278,0.22,0.225,-2.222222222
3,4,48,1.057,1.322,0.265,0.3,-11.66666667
3,5,60,1.062,1.414,0.352,0.375,-6.133333333
3,6,72,1.051,1.51,0.459,0.45,2
3,7,84,1.062,1.572,0.51,0.525,-2.857142857
3,8,96,1.058,1.677,0.619,0.6,3.166666667
3,9,108,1.062,1.701,0.639,0.675,-5.333333333
3,10,120,1.049,1.782,0.733,0.75,-2.266666667
3,11,132,1.064,1.91,0.846,0.825,2.545454545
3,12,144,1.061,1.963,0.902,0.9,0.2222222222
3,13,156,1.055,2.011,0.956,0.975,-1.948717949
3,14,168,1.057,2.078,1.021,1.05,-2.761904762
3,15,180,1.06,2.201,1.141,1.125,1.422222222
3,16,192,1.064,2.248,1.184,1.2,-1.333333333
3,17,204,1.069,2.324,1.255,1.275,-1.568627451
3,18,216,1.061,2.411,1.35,1.35,0
3,19,228,1.06,2.445,1.385,1.425,-2.807017544
3,20,240,1.048,2.565,1.517,1.5,1.133333333